,Year,State,Fips,CountyName,Region,EstimatedValue
140,2012,Georgia,13285,Troup,North Central,186783.89
141,2012,Georgia,13287,Turner,Southwest,68804.2
142,2012,Georgia,13289,Twiggs,Central,195687.55
143,2012,Georgia,13291,Union,North,157182.22
144,2012,Georgia,13293,Upson,Central,144332.57
145,2012,Georgia,13295,Walker,North,154128.16
146,2012,Georgia,13297,Walton,North Central,122985.59
147,2012,Georgia,13299,Ware,Southeast,478254.68
148,2012,Georgia,13301,Warren,Central,162332.97
149,2012,Georgia,13303,Washington,Central,298456.59
150,2012,Georgia,13305,Wayne,Southeast,350011.88
151,2012,Georgia,13307,Webster,Central,71989.21
152,2012,Georgia,13309,Wheeler,Southeast,146084.83
153,2012,Georgia,13311,White,North,118743.43
154,2012,Georgia,13313,Whitfield,North,89762.24
155,2012,Georgia,13315,Wilcox,Southwest,170234.85
156,2012,Georgia,13317,Wilkes,Central,222600.43
157,2012,Georgia,13319,Wilkinson,Central,265169.52
158,2012,Georgia,13321,Worth,Southwest,168678.18
0,2013,Georgia,13001,Appling,Southeast,234853.0
1,2013,Georgia,13003,Atkinson,Southeast,159342.22
2,2013,Georgia,13005,Bacon,Southeast,127617.91
3,2013,Georgia,13007,Baker,Southwest,122720.95
4,2013,Georgia,13009,Baldwin,Central,119301.88
5,2013,Georgia,13011,Banks,North Central,83519.88
6,2013,Georgia,13013,Barrow,North Central,46266.74
7,2013,Georgia,13015,Bartow,North,173146.09
8,2013,Georgia,13017,Ben Hill,Southwest,94641.56
9,2013,Georgia,13019,Berrien,Southwest,172371.11
10,2013,Georgia,13021,Bibb,Central,74211.85
11,2013,Georgia,13023,Bleckley,Central,79892.87
12,2013,Georgia,13025,Brantley,Southeast,244893.05
13,2013,Georgia,13027,Brooks,Southwest,175864.04
14,2013,Georgia,13029,Bryan,Southeast,198710.37
15,2013,Georgia,13031,Bulloch,Southeast,288213.93
16,2013,Georgia,13033,Burke,Central,328644.88
17,2013,Georgia,13035,Butts,Central,74238.37
18,2013,Georgia,13037,Calhoun,Central,74085.33
19,2013,Georgia,13039,Camden,Southeast,277181.85
20,2013,Georgia,13043,Candler,Southeast,83315.35
21,2013,Georgia,13045,Carroll,North Central,181575.75
22,2013,Georgia,13047,Catoosa,North,37837.73
23,2013,Georgia,13049,Charlton,Southeast,368879.35
24,2013,Georgia,13051,Chatham,Southeast,87249.19
25,2013,Georgia,13053,Chattahoochee,Central,131750.77
26,2013,Georgia,13055,Chattooga,North,177494.86
27,2013,Georgia,13057,Cherokee,North,139900.07
28,2013,Georgia,13059,Clarke,North Central,24908.42
29,2013,Georgia,13061,Clay,Central,84724.18
30,2013,Georgia,13063,Clayton,North Central,14530.57
31,2013,Georgia,13065,Clinch,Southeast,556656.63
32,2013,Georgia,13067,Cobb,North Central,21088.97
33,2013,Georgia,13069,Coffee,Southeast,211036.16
34,2013,Georgia,13071,Colquitt,Southwest,160556.36
35,2013,Georgia,13073,Columbia,Central,93702.74
36,2013,Georgia,13075,Cook,Southwest,75507.52
37,2013,Georgia,13077,Coweta,North Central,164895.7
38,2013,Georgia,13079,Crawford,Central,174638.74
39,2013,Georgia,13081,Crisp,Southwest,78980.77
